File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF999TSS	bam	bam		unfiltered alignments	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF002ABE/	1291272286	ENCODE Processing Pipeline	05f977c4dc58238034fe58269023ef39		https://www.encodeproject.org/files/ENCFF999TSS/@@download/ENCFF999TSS.bam				archived	s3://encode-public/2016/10/26/91246650-a238-4c15-8846-8178db42a76f/ENCFF999TSS.bam	https://datasetencode.blob.core.windows.net/dataset/2016/10/26/91246650-a238-4c15-8846-8178db42a76f/ENCFF999TSS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF381ZMB	bam	bam		unfiltered alignments	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF643CGH/, /files/ENCFF002ABD/	904539113	ENCODE Processing Pipeline	1d76debc00c2774b8ef6b26f1439155c		https://www.encodeproject.org/files/ENCFF381ZMB/@@download/ENCFF381ZMB.bam				released	s3://encode-public/2016/10/26/ecb36b0c-5599-45d9-a30c-152d8265296d/ENCFF381ZMB.bam	https://datasetencode.blob.core.windows.net/dataset/2016/10/26/ecb36b0c-5599-45d9-a30c-152d8265296d/ENCFF381ZMB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF270RFU	bam	bam		alignments	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF643CGH/, /files/ENCFF002ABD/	449467918	ENCODE Processing Pipeline	2583e39a3422ce059e6d3f48a828205c		https://www.encodeproject.org/files/ENCFF270RFU/@@download/ENCFF270RFU.bam				released	s3://encode-public/2016/10/26/7c6c6725-7b37-4973-b1d9-4e2c20d48b0b/ENCFF270RFU.bam	https://datasetencode.blob.core.windows.net/dataset/2016/10/26/7c6c6725-7b37-4973-b1d9-4e2c20d48b0b/ENCFF270RFU.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF915ZJP	bam	bam		alignments	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF002ABE/	921590956	ENCODE Processing Pipeline	84755287c2bad1c6ee1b8e5e0a8b49e5		https://www.encodeproject.org/files/ENCFF915ZJP/@@download/ENCFF915ZJP.bam				archived	s3://encode-public/2016/10/26/eac9b18f-737d-4486-a079-8655f1049ea9/ENCFF915ZJP.bam	https://datasetencode.blob.core.windows.net/dataset/2016/10/26/eac9b18f-737d-4486-a079-8655f1049ea9/ENCFF915ZJP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF750EWN	bam	bam		unfiltered alignments	hg19	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABE/	1286017453	ENCODE Processing Pipeline	889b1b2ef4d3e38657e6d70786ff3c27		https://www.encodeproject.org/files/ENCFF750EWN/@@download/ENCFF750EWN.bam				archived	s3://encode-public/2017/01/31/9f6266b8-a632-48b9-ada9-557c12b3a3d4/ENCFF750EWN.bam	https://datasetencode.blob.core.windows.net/dataset/2017/01/31/9f6266b8-a632-48b9-ada9-557c12b3a3d4/ENCFF750EWN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF113VHH	bam	bam		unfiltered alignments	hg19	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABD/	897712960	ENCODE Processing Pipeline	9d2a2cea562bc1504af1f48061b29a39		https://www.encodeproject.org/files/ENCFF113VHH/@@download/ENCFF113VHH.bam				released	s3://encode-public/2017/01/31/7427c7c5-5136-40df-acf1-adb6fa60920f/ENCFF113VHH.bam	https://datasetencode.blob.core.windows.net/dataset/2017/01/31/7427c7c5-5136-40df-acf1-adb6fa60920f/ENCFF113VHH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF894ZZY	bam	bam		alignments	hg19	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABD/	449305428	ENCODE Processing Pipeline	20cdcd502bfb8e1b38840c79aac9cddb		https://www.encodeproject.org/files/ENCFF894ZZY/@@download/ENCFF894ZZY.bam				released	s3://encode-public/2017/01/31/e9e560a4-c45b-4c7a-83af-45b7631442cc/ENCFF894ZZY.bam	https://datasetencode.blob.core.windows.net/dataset/2017/01/31/e9e560a4-c45b-4c7a-83af-45b7631442cc/ENCFF894ZZY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF036KII	bam	bam		alignments	hg19	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABE/	921901134	ENCODE Processing Pipeline	1fdd96e3a6c910b16d91e81466716671		https://www.encodeproject.org/files/ENCFF036KII/@@download/ENCFF036KII.bam				archived	s3://encode-public/2017/01/31/053ebccd-4dc8-4e20-8155-a47763f650f1/ENCFF036KII.bam	https://datasetencode.blob.core.windows.net/dataset/2017/01/31/053ebccd-4dc8-4e20-8155-a47763f650f1/ENCFF036KII.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF971ORP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1							/files/ENCFF493CYY/, /files/ENCFF356LFX/, /files/ENCFF480MMN/	1705996	ENCODE Processing Pipeline	555eae9bd7b702278e7c15208582aa3b		https://www.encodeproject.org/files/ENCFF971ORP/@@download/ENCFF971ORP.bed.gz				released	s3://encode-public/2020/10/28/7a1a8beb-41fc-4ce0-a257-22e819c0cfdf/ENCFF971ORP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/28/7a1a8beb-41fc-4ce0-a257-22e819c0cfdf/ENCFF971ORP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
ENCFF952DHM	bigBed narrowPeak	bigBed	narrowPeak	replicated peaks	GRCh38	ENCSR000FCK	Histone ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										H3K36me3-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1, 2	1_1, 2_1							/files/ENCFF224LEB/	1342153	ENCODE Processing Pipeline	62b67ebc1ac0dbcb8110db3239615896		https://www.encodeproject.org/files/ENCFF952DHM/@@download/ENCFF952DHM.bigBed				released	s3://encode-public/2020/10/28/b780c67e-f59d-4758-a8b0-486f1f847dc5/ENCFF952DHM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/28/b780c67e-f59d-4758-a8b0-486f1f847dc5/ENCFF952DHM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms	insufficient read depth, control insufficient read depth	
