File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF315FFJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR019WUS	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7556/'], '@type': ['Target', 'Item'], 'name': 'ZNF10-human', 'label': 'ZNF10', '@id': '/targets/ZNF10-human/', 'title': 'ZNF10 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '85c41155-e4f1-4b06-b99a-df5124dbed84', 'status': 'released'}				ZNF10-human	DNA				formaldehyde		2017-04-06	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF223BAL/, /files/ENCFF419RSJ/, /files/ENCFF653BEU/, /files/ENCFF679SSP/	347645	ENCODE Processing Pipeline	62eb23863d1bb302157f7282d3536d34		https://www.encodeproject.org/files/ENCFF315FFJ/@@download/ENCFF315FFJ.bed.gz				released	s3://encode-public/2017/03/06/0648c677-f546-4d98-b5f5-8a2fbb4b62bb/ENCFF315FFJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/0648c677-f546-4d98-b5f5-8a2fbb4b62bb/ENCFF315FFJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF708RSP	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR090ZDO	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001184	HEK293T	cell line	Homo sapiens										SUZ12-human	DNA						2016-11-18	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF028TUB/, /files/ENCFF419RSJ/, /files/ENCFF193JDJ/, /files/ENCFF908CAI/	21199	ENCODE Processing Pipeline	be035e1bf01d7c2d0b9008b79c244ce8		https://www.encodeproject.org/files/ENCFF708RSP/@@download/ENCFF708RSP.bed.gz				released	s3://encode-public/2016/11/02/bfea506a-3caf-498f-b7d7-c000f047f42b/ENCFF708RSP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/02/bfea506a-3caf-498f-b7d7-c000f047f42b/ENCFF708RSP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking		
ENCFF303TSY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR397DQC	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:KLF16'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/83855/'], '@type': ['Target', 'Item'], 'label': 'KLF16', 'title': 'KLF16 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '44d985ce-a4eb-479d-a0f4-b84cc74a9981', 'schema_version': '14', 'name': 'KLF16-human', '@id': '/targets/KLF16-human/', 'status': 'released'}				KLF16-human	DNA				formaldehyde		2017-04-05	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF852ADG/, /files/ENCFF051ASE/, /files/ENCFF262ZLR/	333858	ENCODE Processing Pipeline	b4af5ca2759effb663b75927f28af398		https://www.encodeproject.org/files/ENCFF303TSY/@@download/ENCFF303TSY.bed.gz				released	s3://encode-public/2016/11/01/7dc89539-cb0a-428d-844d-940e7d624e73/ENCFF303TSY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/7dc89539-cb0a-428d-844d-940e7d624e73/ENCFF303TSY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF565NIW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR146NLL	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/29803/'], '@type': ['Target', 'Item'], 'name': 'REPIN1-human', 'label': 'REPIN1', '@id': '/targets/REPIN1-human/', 'title': 'REPIN1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '0c86c6e7-9a31-423c-82ce-04263859d026', 'status': 'released'}				REPIN1-human	DNA				formaldehyde		2017-03-07	ENCODE			450-650	1, 3	1_1, 3_1							/files/ENCFF175PLP/, /files/ENCFF419RSJ/, /files/ENCFF227XGX/, /files/ENCFF494HVT/	119619	ENCODE Processing Pipeline	e606535cd11c3d9b599ce057515a51b2		https://www.encodeproject.org/files/ENCFF565NIW/@@download/ENCFF565NIW.bed.gz				released	s3://encode-public/2017/02/08/cefc593a-8efd-46b8-8f08-69b5a639c5f4/ENCFF565NIW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/cefc593a-8efd-46b8-8f08-69b5a639c5f4/ENCFF565NIW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read depth, missing biosample characterization, missing genetic modification characterization		
ENCFF829NNC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR218GSN	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001184	HEK293T	cell line	Homo sapiens										ZFX-human	DNA						2017-07-21	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF171CTM/, /files/ENCFF459AED/, /files/ENCFF419RSJ/, /files/ENCFF474EJT/	433703	ENCODE Processing Pipeline	44b02d2946f4360d77cfdf9f3ceeb829		https://www.encodeproject.org/files/ENCFF829NNC/@@download/ENCFF829NNC.bed.gz				released	s3://encode-public/2017/07/21/f8fcb14f-769d-4347-ac2e-75ed86d911a5/ENCFF829NNC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/21/f8fcb14f-769d-4347-ac2e-75ed86d911a5/ENCFF829NNC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	antibody characterized with exemption		
ENCFF127PKO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR125ULS	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-908'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/93134/'], '@type': ['Target', 'Item'], 'name': 'ZNF561-human', 'label': 'ZNF561', '@id': '/targets/ZNF561-human/', 'title': 'ZNF561 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cb0d60b5-e2eb-4b5a-8492-e8fdd2c7bf84', 'status': 'released'}				ZNF561-human	DNA						2018-07-11	ENCODE			450-650	2, 3	2_1, 3_1							/files/ENCFF419RSJ/, /files/ENCFF832RIE/, /files/ENCFF662GAF/, /files/ENCFF436TIQ/	451062	ENCODE Processing Pipeline	de04a7d95dde771850a01cfbcf222912		https://www.encodeproject.org/files/ENCFF127PKO/@@download/ENCFF127PKO.bed.gz				released	s3://encode-public/2018/04/18/cf0b0096-a63b-41dc-a1a9-6b833c6e0956/ENCFF127PKO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/18/cf0b0096-a63b-41dc-a1a9-6b833c6e0956/ENCFF127PKO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, borderline replicate concordance, missing genetic modification characterization		
ENCFF713BAD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR070HWF	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/79724/'], '@type': ['Target', 'Item'], 'name': 'ZNF768-human', 'label': 'ZNF768', '@id': '/targets/ZNF768-human/', 'title': 'ZNF768 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'f31a6534-ab50-4208-8890-8b90c1a9e78b', 'status': 'released'}				ZNF768-human	DNA				formaldehyde		2018-01-29	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF093TRT/, /files/ENCFF513DUL/, /files/ENCFF414NBA/, /files/ENCFF419RSJ/	143365	ENCODE Processing Pipeline	f4219627b1a9d47ec3fd2c6dce00021f		https://www.encodeproject.org/files/ENCFF713BAD/@@download/ENCFF713BAD.bed.gz				released	s3://encode-public/2017/12/08/4e4e0a57-18eb-4ed9-96c8-dcdb973993f3/ENCFF713BAD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/4e4e0a57-18eb-4ed9-96c8-dcdb973993f3/ENCFF713BAD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, missing biosample characterization, missing genetic modification characterization		
ENCFF887JQV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR328SUD	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/63925/'], '@type': ['Target', 'Item'], 'name': 'ZNF335-human', 'label': 'ZNF335', '@id': '/targets/ZNF335-human/', 'title': 'ZNF335 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': 'e7ecc058-29ae-487e-b93c-c689c8cf3c38', 'status': 'released'}				ZNF335-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF888NXY/, /files/ENCFF814KER/, /files/ENCFF419RSJ/, /files/ENCFF473AUB/	1251291	ENCODE Processing Pipeline	3fa00bd8f4c96b03468160c3f24f175e		https://www.encodeproject.org/files/ENCFF887JQV/@@download/ENCFF887JQV.bed.gz				released	s3://encode-public/2016/11/01/1fd2dc0d-d796-459b-a970-b7593fb1e568/ENCFF887JQV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/1fd2dc0d-d796-459b-a970-b7593fb1e568/ENCFF887JQV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF156RLT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR862PNL	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001184	HEK293T	cell line	Homo sapiens										L3MBTL2-human	DNA						2016-11-21	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF447PKR/, /files/ENCFF555ZFI/, /files/ENCFF419RSJ/, /files/ENCFF919GWY/	491941	ENCODE Processing Pipeline	c9ca67a59bfc42a971106cc150a59497		https://www.encodeproject.org/files/ENCFF156RLT/@@download/ENCFF156RLT.bed.gz				released	s3://encode-public/2016/11/02/d0b9f022-54c8-46b8-b4b7-fd3b009eaebd/ENCFF156RLT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/02/d0b9f022-54c8-46b8-b4b7-fd3b009eaebd/ENCFF156RLT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking		
ENCFF824YMX	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR163RYW	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7743/'], '@type': ['Target', 'Item'], 'name': 'ZNF189-human', 'label': 'ZNF189', '@id': '/targets/ZNF189-human/', 'title': 'ZNF189 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f08b546c-77a5-4a14-b402-2424cda3e0a6', 'status': 'released'}				ZNF189-human	DNA				formaldehyde		2017-11-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF613WKG/, /files/ENCFF419RSJ/, /files/ENCFF159RSM/, /files/ENCFF646KAN/	734290	ENCODE Processing Pipeline	03bfee7ee344daa8663e80822480b3ad		https://www.encodeproject.org/files/ENCFF824YMX/@@download/ENCFF824YMX.bed.gz				released	s3://encode-public/2017/11/21/b6a6b3b8-60d8-4254-aea6-1896ed07e5d1/ENCFF824YMX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/21/b6a6b3b8-60d8-4254-aea6-1896ed07e5d1/ENCFF824YMX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, missing biosample characterization, missing genetic modification characterization		
