"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030155","regulation of cell adhesion","43/446","819/18805",0.0525030525030525,2.2137217540805,5.53556343699482,9.7223934547925e-07,0.00203163790296274,0.00177413759987879,"6401/5317/1307/3594/5155/5054/2043/7292/63923/8995/7852/8744/970/2302/5100/9314/2615/7057/1969/11221/64332/10563/3549/80149/3600/10370/26585/3481/3576/5314/27289/2828/3932/10507/57162/28514/5365/4860/5212/9289/388125/3115/342184",43
"GO:0030855","epithelial cell differentiation","41/446","763/18805",0.053735255570118,2.2656759663589,5.56301848315581,9.80756892571925e-07,0.00203163790296274,0.00177413759987879,"51384/30812/6098/3784/1747/8626/5317/5155/688/5054/3398/6943/7852/50674/3872/2302/1028/9314/1969/64332/7484/6781/4487/3549/26585/144501/2125/5314/2828/247/9573/5453/3852/3868/374454/28514/9935/3853/81606/642658/5175",41
"GO:0050729","positive regulation of inflammatory response","16/446","163/18805",0.098159509202454,4.13876585325594,6.27298875958048,1.75030794514236e-06,0.00220850334167353,0.00192858619747499,"5733/5743/8840/5054/7292/8995/718/64332/84630/115362/2634/3600/5734/3603/2828/388125",16
"GO:0045444","fat cell differentiation","20/446","252/18805",0.0793650793650794,3.34632358174959,5.84452395889295,2.66534315915223e-06,0.00220850334167353,0.00192858619747499,"30812/221395/5743/3589/688/8840/3398/5997/3164/9314/6097/11221/4929/266977/80149/1649/59344/9573/155/9935",20
"GO:0043588","skin development","23/446","324/18805",0.0709876543209877,2.99310053700936,5.64036251202402,3.23795826214536e-06,0.00223581018001137,0.00195243202578835,"51384/1747/8626/50509/5317/6615/3872/3691/9314/1969/64332/144501/2125/59344/247/5453/3852/3868/1364/374454/28514/9935/3853",23
"GO:0045596","negative regulation of cell differentiation","37/446","739/18805",0.0500676589986468,2.11103660867613,4.80272395073737,1.64943614722948e-05,0.00937603202459083,0.0081876651977384,"30812/8626/25805/5155/8840/1048/3398/1746/2043/65121/390999/5997/7292/63923/8995/65122/6615/2302/9856/6123/11221/4487/3549/80149/26585/3481/3627/1649/9573/343071/10507/28514/9935/645425/653619/81606/8361",37
"GO:0015670","carbon dioxide transport","5/446","15/18805",0.333333333333333,14.0545590433483,7.88338044955341,1.81048168469048e-05,0.00937603202459083,0.0081876651977384,"760/57127/3040/3048/3039",5
"GO:0008544","epidermis development","24/446","395/18805",0.0607594936708861,2.56184367372424,4.88964417385148,2.70748607910955e-05,0.0112171148257509,0.00979539963568372,"51384/3784/1747/8626/5317/6615/3872/9314/1969/1382/64332/144501/2125/59344/247/9573/5453/3852/3868/1364/374454/28514/9935/3853",24
"GO:0030217","T cell differentiation","21/446","324/18805",0.0648148148148148,2.7328309250955,4.90381413686744,3.37576342446021e-05,0.0127143526068533,0.0111028697510715,"3604/23210/3594/914/7292/8995/1958/8744/2302/3662/6097/11221/64332/3549/80149/3600/5734/3932/64218/4860/9935",21
"GO:0007141","male meiosis I","6/446","28/18805",0.214285714285714,9.03507367072389,6.63168386795307,4.16165145180506e-05,0.0143623779469189,0.0125420158297599,"54456/3306/8900/63946/122402/254528",6
