ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,log_padj,category,pathway_group
GO:0007159,leukocyte cell-cell adhesion,51/862,268/12112,0.19029850746268656,2.6738927173875404,7.670314852085683,6.718266937511519e-11,5.2391285001027336e-8,4.029781519184541e-8,ITGAL/CD4/CD74/LAG3/IL12RB1/LGALS1/PYCARD/DOCK8/VSIR/CRTAM/SELPLG/PTPN6/RIPOR2/BCL6/HHLA2/TNFSF4/NR4A3/NCKAP1L/SDC4/EFNB2/IRF1/TNFSF9/CD70/TNFSF14/STAT5A/FOXJ1/NT5E/KLF4/LRRC32/CD27/DUSP10/NFKBIZ/FERMT3/LAPTM5/IHH/ZC3H12A/IL15/NOD2/IGF2/PTAFR/EGR3/LCK/SOCS1/SEMA4D/SELL/PELI1/NRARP/PNP/BRD2/HLA-DPB1/PECAM1,51,7.280740949480829,Upregulated Genes,Cell Adhesion
GO:0050727,regulation of inflammatory response,46/862,237/12112,0.1940928270042194,2.7272068685326047,7.433084911702016,2.9836310646683594e-10,1.3960409751583252e-7,1.0737931168527497e-7,BTK/NR1H4/PTGER3/PTGS2/NLRP1/LGALS1/NFKBIA/MEFV/PYCARD/CCN4/GSDMD/SERPINE1/IL10RA/TRPV4/PTPN6/BCL6/TNFSF4/TNFAIP3/PTGIS/C3/ZFP36/APOE/MAS1/NT5E/KLF4/CCN3/IER3/SEMA7A/DUOXA1/DUSP10/NFKBIZ/AGTR1/PLK2/TTBK1/FCGR1A/GBP5/NCF1/GBP2/IL15/NOD2/PTGER4/IL16/METRNL/GPR4/SOCS3/TLR7,46,6.855101834560996,Upregulated Genes,Inflammatory Response
GO:0001525,angiogenesis,65/862,408/12112,0.15931372549019607,2.2385241799736133,7.0442504527939285,4.894581469934518e-10,1.908478891485301e-7,1.467945091728607e-7,NGFR/SP100/JMJD6/PTGS2/PDGFB/KLF5/SERPINE1/PTPN6/IL17F/VEGFA/NPR3/HYAL1/EPAS1/GADD45A/F3/TNFAIP3/CCN2/PGF/TBX4/CXCR4/MMP19/NR4A1/PTGIS/EFNB2/C3/ID1/PTPRB/KLF2/KDR/DLL4/SAT1/GLUL/KLF4/CCN3/THBS1/ITGAX/EPHA2/HSPG2/CCN1/RHOB/AGTR1/PLK2/ADM/ADAMTS1/CXCL13/FGF18/CREB3L1/NPPC/IHH/ZC3H12A/CYBB/ANPEP/GREM1/ANGPTL4/CHRNA7/GPR4/EGR3/EPHB3/TNFAIP2/SEMA4A/FLNA/C5AR1/NRARP/DLL1/ADGRG1,65,6.719312639153264,Upregulated Genes,Angiogenesis
GO:0009612,response to mechanical stimulus,35/862,167/12112,0.20958083832335328,2.9448295983439152,7.005095940730743,5.114538307262663e-9,1.2257577696385315e-6,9.428163495110607e-7,MPO/PKD1/KCNQ1/PTGS2/WNT11/SLC9A1/NFKBIA/TLR8/CALB1/TRPV4/KCNA1/GADD45A/CXCR4/PHF24/IRF1/SOX9/TNFSF14/FOSB/SLC38A2/SERPINE2/KIAA0319/THBS1/ACTA1/PKD1L1/DDR2/IHH/CITED2/TUBA1A/ITGAM/FOS/PTGER4/FOSL1/TLR7/SCX/PKD1L3,35,5.911595345236223,Upregulated Genes,Mechanical Stress
GO:0006814,sodium ion transport,34/862,161/12112,0.2111801242236025,2.96730123503048,6.955831502833373,6.9050834512469e-9,1.4111268323951217e-6,1.0853967086891982e-6,SCN4A/SLC6A13/KCNQ1/TRPM5/SLC9A1/SLC10A1/SLC8A3/SLC17A7/SLC5A5/SLC6A4/SLC6A12/SCNN1A/SLC17A2/SGK1/SLC17A3/SLC17A1/ATP1B2/SLC6A6/SLC38A2/SERPINE2/SCN7A/SIK1/ATP1B1/SLC17A4/SLC5A10/SLC34A2/CNNM4/SLC13A3/SLC9C2/ADRB2/SLC23A1/GRIN1/GRIN2A/SLC4A5,34,5.850433950006223,Upregulated Genes,Ion Homeostasis
GO:0002097,tRNA wobble base modification,2/71,21/12112,0.09523809523809523,16.246814218645202,5.369644617768148,0.006620557951334387,0.743425958854657,0.7434259588546569,ADAT2/KTI12,2,0.12876227833512283,Downregulated Genes,RNA Metabolism
GO:0009451,RNA modification,4/71,154/12112,0.025974025974025976,4.430949332357783,3.29028326543306,0.012636764977758504,0.743425958854657,0.7434259588546569,TRMT10C/ADAT2/KTI12/FDXACB1,4,0.12876227833512283,Downregulated Genes,RNA Metabolism
GO:0006400,tRNA modification,3/71,89/12112,0.033707865168539325,5.750276942554201,3.4537858656557794,0.015303278731052278,0.743425958854657,0.7434259588546569,TRMT10C/ADAT2/KTI12,3,0.12876227833512283,Downregulated Genes,RNA Metabolism
GO:0008630,intrinsic apoptotic signaling pathway in respon...,3/71,92/12112,0.03260869565217391,5.562767911818739,3.3733232275402423,0.016713835477853503,0.743425958854657,0.7434259588546569,TRIM32/BRCA2/PHLDA3,3,0.12876227833512283,Downregulated Genes,DNA Damage Response
GO:0006448,regulation of translational elongation,1/71,12/12112,0.08333333333333333,14.215962441314552,3.5170993137770727,0.06814923154923724,0.743425958854657,0.7434259588546569,METTL18,1,0.12876227833512283,Downregulated Genes,Translation Regulation
