ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,log_padj,category
GO:0001819,positive regulation of cytokine production,59/862,313/12112,0.18849840255591055,2.6485993639874574,8.17960006903677,3.1007542803020905e-12,1.2806459054554629e-8,9.850346679457436e-9,IL32/CD4/BTK/NR1H4/SLC11A1/CD74/POU2F2/PTGS2/IL12RB2/WNT11/NLRP1/IL12RB1/TLR8/SLC7A5/MEFV/PYCARD/GSDMD/SERPINE1/CRTAM/TRPV4/IL17F/HHLA2/F3/TNFSF4/NR4A3/EGR1/EPX/IRF1/C3/IRF4/THBS1/SEMA7A/FCGR1A/ADRA2A/CD226/GBP5/LAPTM5/IFI16/IL15/CGAS/CYBB/NOD2/PTAFR/PYDC1/CD14/PTGER4/CLEC7A/IL16/TLR1/DDIT3/ALOX15B/TLR7/PELI1/C5AR1/PNP/RAET1G/HLA-F/HLA-DPB1/CEACAM20,59,7.892570934708731,Upregulated Genes
GO:0050865,regulation of cell activation,70/862,413/12112,0.1694915254237288,2.381532895512997,7.90731899606944,5.474015411222325e-12,1.2806459054554629e-8,9.850346679457436e-9,CD4/BTK/CD74/TNFRSF9/PRDM1/LAG3/IL12RB1/LGALS1/PDGFB/PYCARD/DOCK8/VSIR/CRTAM/PTPN6/NEDD9/RIPOR2/BCL6/HHLA2/ID2/TNFSF4/TNFAIP3/NR4A3/NCKAP1L/SDC4/CDKN1A/EFNB2/IRF1/TNFSF9/CD70/TNFSF14/STAT5A/SOX15/FOXJ1/APOE/SERPINE2/IRF4/LRRC32/THBS1/CD27/DUSP10/NFKBIZ/TTBK1/CD226/UBASH3B/LAPTM5/DDR2/IHH/ZC3H12A/IL15/CGAS/NOD2/IGF2/INPP5D/MZB1/JUNB/CLEC7A/IL16/TBC1D10C/EGR3/LCK/SOCS1/ZFP36L1/IRS2/CNR2/FLNA/PELI1/NRARP/PNP/BRD2/HLA-DPB1,70,7.892570934708731,Upregulated Genes
GO:0009617,response to bacterium,65/862,374/12112,0.17379679144385027,2.442026378153033,7.8411421478457255,1.0497987309427428e-11,1.6373360873603646e-8,1.2593901266993818e-8,MPO/CD4/BTK/NR1H4/SLC11A1/MAP2K3/PTGS2/IL12RB2/LYZ/TF/NLRP1/CHGA/NFKBIA/SLC7A5/PYCARD/GSDMD/SERPINE1/CSF3/FAM20A/IL10RA/PTPN6/IL17F/TENT5A/TNFSF4/TNFAIP3/EPX/LRAT/NR4A1/EFNB2/C3/CITED1/ZFP36/VGF/GCH1/SCN7A/NLRC5/EPHA2/DUSP10/NFKBIZ/ADM/FCGR1A/GBP5/CXCL13/GBP2/ZC3H12A/RNASE7/C2/NOD2/LPO/EVPL/PTAFR/ITGAM/FOS/SLC30A1/CD14/PPM1D/PTGER4/TLR1/CNR2/PELI1/C5AR1/RNASE13/HP/MRC1/CEACAM20,65,7.785862166095263,Upregulated Genes
GO:0002252,immune effector process,65/862,383/12112,0.16971279373368145,2.384641946290429,7.622084367139453,3.077543286238516e-11,3.5999562590775045e-8,2.768979077802497e-8,MPO/ITGAL/BTK/SLC11A1/CD74/LAT2/LAG3/IL12RB1/LGALS1/CHGA/TLR8/SLC7A5/PYCARD/LFNG/CRTAM/PTPN6/IL17F/BCL6/TNFSF4/NR4A3/EPX/NCKAP1L/CD70/C3/STAT5A/FOXJ1/DYSF/LCP1/MYO1G/IRF4/SEMA7A/CD27/RORC/DUSP10/NFKBIZ/FCGR1A/CD226/NCF1/LAPTM5/FCGR3B/ZC3H12A/CGAS/C2/NOD2/EVPL/INPP5D/PTAFR/ITGAM/MZB1/SERPINB9/JUNB/PTGER4/CLEC7A/C1S/FES/SOCS3/C17orf99/TUBB4B/SEMA4A/TLR7/DLL1/RAET1G/BRD2/HLA-F/RAB44,65,7.443702776054013,Upregulated Genes
GO:0048514,blood vessel morphogenesis,75/862,481/12112,0.15592515592515593,2.190911239635138,7.377526500067284,5.983250876190379e-11,5.2391285001027336e-8,4.029781519184541e-8,PRDM1/NGFR/SP100/JMJD6/PTGS2/WNT11/PDGFB/KLF5/SERPINE1/PTPN6/IL17F/VEGFA/NPR3/HYAL1/EPAS1/GADD45A/F3/TNFAIP3/CCN2/PGF/TBX4/CXCR4/MMP19/NR4A1/PTGIS/EFNB2/C3/CITED1/ID1/PTPRB/KLF2/KDR/DLL4/SAT1/APOE/GLUL/KLF4/CCN3/THBS1/ITGAX/MYOCD/EPHA2/HSPG2/CCN1/RHOB/AGTR1/PLK2/ADM/ADAMTS1/CXCL13/FGF18/CREB3L1/FOXH1/WNT4/NPPC/IHH/ZC3H12A/CITED2/CYBB/ANPEP/GREM1/ANGPTL4/JUNB/CHRNA7/GPR4/EGR3/EPHB3/TNFAIP2/ZFP36L1/SEMA4A/FLNA/C5AR1/NRARP/DLL1/ADGRG1,75,7.280740949480829,Upregulated Genes
GO:0007159,leukocyte cell-cell adhesion,51/862,268/12112,0.19029850746268656,2.6738927173875404,7.670314852085683,6.718266937511519e-11,5.2391285001027336e-8,4.029781519184541e-8,ITGAL/CD4/CD74/LAG3/IL12RB1/LGALS1/PYCARD/DOCK8/VSIR/CRTAM/SELPLG/PTPN6/RIPOR2/BCL6/HHLA2/TNFSF4/NR4A3/NCKAP1L/SDC4/EFNB2/IRF1/TNFSF9/CD70/TNFSF14/STAT5A/FOXJ1/NT5E/KLF4/LRRC32/CD27/DUSP10/NFKBIZ/FERMT3/LAPTM5/IHH/ZC3H12A/IL15/NOD2/IGF2/PTAFR/EGR3/LCK/SOCS1/SEMA4D/SELL/PELI1/NRARP/PNP/BRD2/HLA-DPB1/PECAM1,51,7.280740949480829,Upregulated Genes
GO:0002694,regulation of leukocyte activation,63/862,376/12112,0.1675531914893617,2.3542972799526094,7.3844006525586865,1.0923139152284582e-10,7.30133829907708e-8,5.615971843858795e-8,CD4/BTK/CD74/TNFRSF9/PRDM1/LAG3/IL12RB1/LGALS1/PYCARD/DOCK8/VSIR/CRTAM/PTPN6/NEDD9/RIPOR2/BCL6/HHLA2/ID2/TNFSF4/TNFAIP3/NR4A3/NCKAP1L/SDC4/CDKN1A/EFNB2/IRF1/TNFSF9/CD70/TNFSF14/STAT5A/FOXJ1/IRF4/LRRC32/THBS1/CD27/DUSP10/NFKBIZ/TTBK1/CD226/LAPTM5/IHH/ZC3H12A/IL15/CGAS/NOD2/IGF2/INPP5D/MZB1/JUNB/CLEC7A/IL16/TBC1D10C/EGR3/LCK/SOCS1/ZFP36L1/IRS2/CNR2/PELI1/NRARP/PNP/BRD2/HLA-DPB1,63,7.136597528559809,Upregulated Genes
GO:0042110,T cell activation,63/862,378/12112,0.16666666666666666,2.3418406805877803,7.336538247377555,1.3716255656266497e-10,8.022295026958868e-8,6.170510274838836e-8,ITGAL/CD4/SLC11A1/CD74/TNFRSF9/PRDM1/JMJD6/LAG3/IL12RB1/LGALS1/PYCARD/LFNG/DOCK8/VSIR/CRTAM/PTPN6/RIPOR2/BCL6/HHLA2/TNFSF4/EGR1/NCKAP1L/SDC4/EFNB2/IRF1/TNFSF9/CD70/TNFSF14/STAT5A/DLL4/FOXJ1/LCP1/IRF4/LRRC32/CD27/RORC/DUSP10/NFKBIZ/FZD7/LAPTM5/WNT4/IHH/ZC3H12A/IL15/CGAS/NOD2/IGF2/JUNB/PTGER4/CLEC7A/EGR3/LCK/SOCS3/SOCS1/ZFP36L1/SEMA4A/PELI1/NRARP/PNP/MAFB/BRD2/MICB/HLA-DPB1,63,7.09570137049895,Upregulated Genes
GO:0002250,adaptive immune response,51/862,274/12112,0.18613138686131386,2.6153403221162805,7.486305080226451,1.5484004883467118e-10,8.04996209441585e-8,6.191790958663634e-8,CD4/BTK/SLC11A1/CD74/PRDM1/LAT2/LAG3/IL12RB1/LGALS1/TLR8/PYCARD/PTPN6/IL17F/BCL6/TNFSF4/TNFAIP3/NCKAP1L/IRF1/CD70/C3/STAT5A/FOXJ1/MYO1G/IRF4/CD27/RORC/DUSP10/NFKBIZ/FCGR1A/CD226/CXCL13/FCGR3B/CTSS/ZC3H12A/C2/NOD2/INPP5D/JUNB/CLEC7A/ADGRE1/C1S/SOCS3/C17orf99/SEMA4A/RAET1G/BRD2/MICB/LILRB3/HLA-F/HLA-DPB1/LILRA6,51,7.094206164629,Upregulated Genes
GO:0050727,regulation of inflammatory response,46/862,237/12112,0.1940928270042194,2.7272068685326047,7.433084911702016,2.9836310646683594e-10,1.3960409751583252e-7,1.0737931168527497e-7,BTK/NR1H4/PTGER3/PTGS2/NLRP1/LGALS1/NFKBIA/MEFV/PYCARD/CCN4/GSDMD/SERPINE1/IL10RA/TRPV4/PTPN6/BCL6/TNFSF4/TNFAIP3/PTGIS/C3/ZFP36/APOE/MAS1/NT5E/KLF4/CCN3/IER3/SEMA7A/DUOXA1/DUSP10/NFKBIZ/AGTR1/PLK2/TTBK1/FCGR1A/GBP5/NCF1/GBP2/IL15/NOD2/PTGER4/IL16/METRNL/GPR4/SOCS3/TLR7,46,6.855101834560996,Upregulated Genes
